Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02 Discovers,,,2018-12-17 12:23:28,2018-12-17 12:23:34,5.938s,PASSED
,,,,,,
Test Cases/Discover/07 Test What is are the best movies from 2015,,,2018-12-17 12:23:29,2018-12-17 12:23:32,2.497s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-17 12:23:30,2018-12-17 12:23:30,0.030s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-17 12:23:30,2018-12-17 12:23:30,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-17 12:23:30,2018-12-17 12:23:30,0.047s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(primary_release_year, com.kms.katalon.core.testobject.ConditionType.EQUALS, 2015))",,,2018-12-17 12:23:30,2018-12-17 12:23:30,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-17 12:23:30,2018-12-17 12:23:30,0.000s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-17 12:23:30,2018-12-17 12:23:30,0.015s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-17 12:23:30,2018-12-17 12:23:31,1.626s,PASSED
verifyElementPropertyValue,,,2018-12-17 12:23:31,2018-12-17 12:23:32,0.082s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""What is are the best movies from 2015"")",,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.062s,PASSED
,,,,,,
Test Cases/Discover/08 Test What are the best dramas that were released this year,,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.605s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.006s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.001s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.002s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(primary_release_year, com.kms.katalon.core.testobject.ConditionType.EQUALS, 2018))",,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.003s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_genres, com.kms.katalon.core.testobject.ConditionType.EQUALS, 18))",,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.003s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.001s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.003s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.128s,PASSED
verifyElementPropertyValue,,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.020s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""What are the best dramas that were released this year"")",,,2018-12-17 12:23:32,2018-12-17 12:23:32,0.015s,PASSED
,,,,,,
