Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Discovers 02,,,2018-12-18 18:36:54,2018-12-18 18:37:01,6.321s,FAILED
,,,,,,
Test Cases/Discover/07 Test What is are the best movies from 2015,,,2018-12-18 18:36:55,2018-12-18 18:36:57,2.297s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 18:36:55,2018-12-18 18:36:55,0.048s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 18:36:55,2018-12-18 18:36:55,0.002s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-18 18:36:55,2018-12-18 18:36:56,0.064s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(primary_release_year, com.kms.katalon.core.testobject.ConditionType.EQUALS, 2015))",,,2018-12-18 18:36:56,2018-12-18 18:36:56,0.001s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-18 18:36:56,2018-12-18 18:36:56,0.000s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-18 18:36:56,2018-12-18 18:36:56,0.021s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-18 18:36:56,2018-12-18 18:36:57,1.440s,PASSED
verifyElementPropertyValue,,,2018-12-18 18:36:57,2018-12-18 18:36:57,0.115s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""What is are the best movies from 2015"")",,,2018-12-18 18:36:57,2018-12-18 18:36:57,0.097s,PASSED
,,,,,,
Test Cases/Discover/08 Test What are the best dramas that were released this year,,,2018-12-18 18:36:57,2018-12-18 18:36:58,1.013s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.035s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.002s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(primary_release_year, com.kms.katalon.core.testobject.ConditionType.EQUALS, 2018))",,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.008s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(with_genres, com.kms.katalon.core.testobject.ConditionType.EQUALS, 18))",,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.000s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(sort_by, com.kms.katalon.core.testobject.ConditionType.EQUALS, vote_average.desc))",,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.000s,PASSED
Statement - reqObj.setRestParameters(params),,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.000s,PASSED
Statement - resObj = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(reqObj),,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.162s,PASSED
verifyElementPropertyValue,,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.056s,PASSED
"Statement - theMovieDB.TheMovieDBCommon.printDataValue(resObj, ""What are the best dramas that were released this year"")",,,2018-12-18 18:36:58,2018-12-18 18:36:58,0.028s,PASSED
,,,,,,
Test Cases/Discover/09 Test What are the highest rated science fiction movies that Tom Cruise has been in,,,2018-12-18 18:36:58,2018-12-18 18:36:59,0.639s,PASSED
Statement - reqObj = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Discover/Movie Discover),,,2018-12-18 18:36:59,2018-12-18 18:36:59,0.002s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-12-18 18:36:59,2018-12-18 18:36:59,0.013s,PASSED
"Statement - params.add(new com.kms.katalon.core.testobject.TestObjectProperty(api_key, com.kms.katalon.core.testobject.ConditionType.EQUALS, internal.GlobalVariable.apiKey))",,,2018-12-18 18:36:59,2018-12-18 18:36:59,0.000s,PASSED
