Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Get Popular Then,,,2018-12-06 15:28:03,2018-12-06 15:28:12,8.859s,PASSED
,,,,,,
Test Cases/Movie/04 Get Popular Get Changes,,,2018-12-06 15:28:03,2018-12-06 15:28:06,2.908s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:04,2018-12-06 15:28:06,1.779s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:06,2018-12-06 15:28:06,0.184s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:06,2018-12-06 15:28:06,0.327s,PASSED
,,,,,,
Test Cases/Movie/05 Get Popular Get Alternative Titles,,,2018-12-06 15:28:06,2018-12-06 15:28:07,0.755s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:07,2018-12-06 15:28:07,0.177s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:07,2018-12-06 15:28:07,0.008s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:07,2018-12-06 15:28:07,0.155s,PASSED
,,,,,,
Test Cases/Movie/06 Get Popular Get Account States,,,2018-12-06 15:28:07,2018-12-06 15:28:08,0.679s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:07,2018-12-06 15:28:08,0.150s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:08,2018-12-06 15:28:08,0.007s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:08,2018-12-06 15:28:08,0.158s,PASSED
,,,,,,
Test Cases/Movie/07 Get Popular Get Credits then Get Credit Details,,,2018-12-06 15:28:08,2018-12-06 15:28:09,1.031s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:08,2018-12-06 15:28:08,0.164s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:08,2018-12-06 15:28:08,0.013s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:08,2018-12-06 15:28:09,0.513s,PASSED
,,,,,,
Test Cases/Movie/08 Get Popular Get Details,,,2018-12-06 15:28:09,2018-12-06 15:28:10,0.686s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:09,2018-12-06 15:28:09,0.166s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:09,2018-12-06 15:28:09,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:09,2018-12-06 15:28:10,0.167s,PASSED
,,,,,,
Test Cases/Movie/09 Get Popular Get Lists then Get List Details,,,2018-12-06 15:28:10,2018-12-06 15:28:11,1.253s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:10,2018-12-06 15:28:10,0.168s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:10,2018-12-06 15:28:10,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:10,2018-12-06 15:28:11,0.702s,PASSED
,,,,,,
Test Cases/Movie/09 Get Popular Get Reviews then Get Review Details,,,2018-12-06 15:28:11,2018-12-06 15:28:12,0.770s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-06 15:28:11,2018-12-06 15:28:11,0.163s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-06 15:28:11,2018-12-06 15:28:11,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-06 15:28:11,2018-12-06 15:28:12,0.158s,PASSED
