Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Movie 03 Get Popular then Get Release Date, Recommendations, Translations, Videos, External IDs and Rate Movie",,,2018-12-18 17:24:20,2018-12-18 17:24:27,7.187s,PASSED
,,,,,,
Test Cases/Movie/12 Get Popular Get Release Dates,,,2018-12-18 17:24:21,2018-12-18 17:24:24,2.852s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-18 17:24:22,2018-12-18 17:24:23,1.717s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-18 17:24:23,2018-12-18 17:24:23,0.091s,PASSED
Statement - If (movieID != -1),,,2018-12-18 17:24:23,2018-12-18 17:24:24,0.247s,PASSED
,,,,,,
Test Cases/Movie/13 Get Popular Get Recommendations,,,2018-12-18 17:24:24,2018-12-18 17:24:24,0.794s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-18 17:24:24,2018-12-18 17:24:24,0.153s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-18 17:24:24,2018-12-18 17:24:24,0.007s,PASSED
Statement - If (movieID != -1),,,2018-12-18 17:24:24,2018-12-18 17:24:24,0.285s,PASSED
,,,,,,
Test Cases/Movie/14 Get Popular Get Translations,,,2018-12-18 17:24:25,2018-12-18 17:24:25,0.737s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-18 17:24:25,2018-12-18 17:24:25,0.150s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-18 17:24:25,2018-12-18 17:24:25,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-18 17:24:25,2018-12-18 17:24:25,0.224s,PASSED
,,,,,,
Test Cases/Movie/15 Get Popular Get Videos,,,2018-12-18 17:24:25,2018-12-18 17:24:26,0.655s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-18 17:24:26,2018-12-18 17:24:26,0.156s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-18 17:24:26,2018-12-18 17:24:26,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-18 17:24:26,2018-12-18 17:24:26,0.140s,PASSED
,,,,,,
Test Cases/Movie/16 Get Popular Get External IDs,,,2018-12-18 17:24:26,2018-12-18 17:24:27,0.652s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-18 17:24:26,2018-12-18 17:24:26,0.149s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-18 17:24:26,2018-12-18 17:24:26,0.001s,PASSED
Statement - If (movieID != -1),,,2018-12-18 17:24:26,2018-12-18 17:24:27,0.145s,PASSED
,,,,,,
Test Cases/Movie/17 Get Popular Rate Movie,,,2018-12-18 17:24:27,2018-12-18 17:24:27,0.754s,PASSED
Statement - response1 = theMovieDB.Movie.getPopular(),,,2018-12-18 17:24:27,2018-12-18 17:24:27,0.180s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-18 17:24:27,2018-12-18 17:24:27,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-18 17:24:27,2018-12-18 17:24:27,0.184s,PASSED
