Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Movie 03 Get Popular then,,,2018-12-11 11:15:19,2018-12-11 11:15:25,6.087s,PASSED
,,,,,,
Test Cases/Movie/12 Get Popular Get Release Dates,,,2018-12-11 11:15:20,2018-12-11 11:15:22,2.208s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-11 11:15:20,2018-12-11 11:15:21,1.385s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-11 11:15:21,2018-12-11 11:15:21,0.100s,PASSED
Statement - If (movieID != -1),,,2018-12-11 11:15:21,2018-12-11 11:15:22,0.271s,PASSED
,,,,,,
Test Cases/Movie/13 Get Popular Get Recommendations,,,2018-12-11 11:15:22,2018-12-11 11:15:23,0.781s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-11 11:15:22,2018-12-11 11:15:22,0.170s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-11 11:15:22,2018-12-11 11:15:22,0.006s,PASSED
Statement - If (movieID != -1),,,2018-12-11 11:15:22,2018-12-11 11:15:23,0.185s,PASSED
,,,,,,
Test Cases/Movie/14 Get Popular Get Translations,,,2018-12-11 11:15:23,2018-12-11 11:15:23,0.643s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-11 11:15:23,2018-12-11 11:15:23,0.153s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-11 11:15:23,2018-12-11 11:15:23,0.004s,PASSED
Statement - If (movieID != -1),,,2018-12-11 11:15:23,2018-12-11 11:15:23,0.164s,PASSED
,,,,,,
Test Cases/Movie/15 Get Popular Get Videos,,,2018-12-11 11:15:23,2018-12-11 11:15:24,0.639s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-11 11:15:23,2018-12-11 11:15:24,0.168s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-11 11:15:24,2018-12-11 11:15:24,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-11 11:15:24,2018-12-11 11:15:24,0.185s,PASSED
,,,,,,
Test Cases/Movie/16 Get Popular Get External IDs,,,2018-12-11 11:15:24,2018-12-11 11:15:25,0.690s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Movies/Get Popular)),,,2018-12-11 11:15:24,2018-12-11 11:15:24,0.172s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-11 11:15:24,2018-12-11 11:15:24,0.002s,PASSED
Statement - If (movieID != -1),,,2018-12-11 11:15:24,2018-12-11 11:15:25,0.176s,PASSED
,,,,,,
Test Cases/Movie/17 Get Popular Rate Movie,,,2018-12-11 11:15:25,2018-12-11 11:15:25,0.617s,PASSED
Statement - response1 = theMovieDB.Movie.getPopular(),,,2018-12-11 11:15:25,2018-12-11 11:15:25,0.158s,PASSED
Statement - movieID = theMovieDB.Movie.getRandomMovie(response1),,,2018-12-11 11:15:25,2018-12-11 11:15:25,0.005s,PASSED
Statement - If (movieID != -1),,,2018-12-11 11:15:25,2018-12-11 11:15:25,0.214s,PASSED
