Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TV Show 04 Get TV On Air and,,,2018-12-11 11:15:46,2018-12-11 11:15:50,4.387s,PASSED
,,,,,,
Test Cases/TV Shows/15 Get TV Airing Today then Get Keywords,,,2018-12-11 11:15:46,2018-12-11 11:15:49,2.190s,PASSED
Statement - response1 = theMovieDB.TVShow.getTVAiringToday(),,,2018-12-11 11:15:47,2018-12-11 11:15:48,1.384s,PASSED
Statement - TVID = theMovieDB.TVShow.getRandomTV(response1),,,2018-12-11 11:15:48,2018-12-11 11:15:48,0.080s,PASSED
Statement - If (TVID >= 0),,,2018-12-11 11:15:48,2018-12-11 11:15:49,0.255s,PASSED
,,,,,,
Test Cases/TV Shows/16 Get TV On Air then Rate TV Show,,,2018-12-11 11:15:49,2018-12-11 11:15:50,0.942s,PASSED
Statement - response1 = theMovieDB.TVShow.getTVOnTheAir(),,,2018-12-11 11:15:49,2018-12-11 11:15:49,0.212s,PASSED
Statement - TVID = theMovieDB.TVShow.getRandomTV(response1),,,2018-12-11 11:15:49,2018-12-11 11:15:49,0.003s,PASSED
Statement - If (TVID >= 0),,,2018-12-11 11:15:49,2018-12-11 11:15:50,0.228s,PASSED
,,,,,,
Test Cases/TV Shows/17 Get TV On Air then Delete Rating,,,2018-12-11 11:15:50,2018-12-11 11:15:50,0.779s,PASSED
Statement - response1 = theMovieDB.TVShow.getTVOnTheAir(),,,2018-12-11 11:15:50,2018-12-11 11:15:50,0.199s,PASSED
Statement - TVID = theMovieDB.TVShow.getRandomTV(response1),,,2018-12-11 11:15:50,2018-12-11 11:15:50,0.002s,PASSED
Statement - If (TVID >= 0),,,2018-12-11 11:15:50,2018-12-11 11:15:50,0.224s,PASSED
